"sample","method","Si","Ti","Al","Fe","Mn","Mg","Ca","K","P","S","V","Cr","Ni","Cu","Zn","Rb","Sr","Y","Zr","Nb","Ba","Ce","Pb","Th"
"H110","pXRF",311651.03,4586.38,113087.28,52475.97,766.99,23642.32,20986.3,29692.75,720.68,141.04,145.08,156.8,73.32,27.53,114.44,178.03,155.59,29.7,219.87,21.48,385.75,0,23.88,12.93
"H111","pXRF",258535.75,4162.09,97742.03,45311.63,914.27,20810.09,38762.04,26996.57,1089.52,182.27,114.35,148.13,71.95,24.82,114.02,178.93,119.97,31.06,219.73,19.05,609.65,0,25.47,10.97
"H112","pXRF",268101.69,4217.8,97822.52,41100.39,980.21,22238.31,98983.48,13008.4,1266.62,78.8,144.38,197.94,69.61,21.19,72.88,160.09,457.26,21.07,139.71,16.88,435.52,0,0,9.39
"H113","pXRF",232744.52,3050.01,57991.43,35411.89,775.58,10510.72,45038.05,22756.06,872.33,410.05,79.56,120.97,0,23.68,79.48,135.85,193,19.51,158.68,14.04,473.2,0,20.82,9.22
"H114","pXRF",292771.56,9323.67,115096.83,5849.24,70.17,0,3416.21,12464.23,533.77,0,86.87,116.5,0,0,30.7,105.13,107.2,30.66,299.12,33.91,261.34,0,29.71,15.35
"H124","pXRF",258220.91,10704.4,108963.3,17165.05,319.43,5161.54,7640.03,12694.87,1485.64,79.02,140.8,201.07,41.52,32.54,59.47,68.93,96.69,22.41,303.23,49.96,689.37,0,16.27,10.15
"H125","pXRF",249592.78,6527.34,117897.49,17419.69,197.46,4417.69,9333.04,18225.33,673.43,67.04,175.66,140.64,37.59,24.35,42.59,155.23,145.68,18.4,188.79,24.93,562.96,0,29.86,11.7
"H126","pXRF",220291.81,7781.02,86117.61,18025.64,113.8,3437.7,3794.1,15597.8,586.39,78.32,174.22,166.1,0,14.05,67.61,161.47,132.42,20.01,200.23,32.25,305.13,0,29.78,16.49
"H127","pXRF",313869.38,13061.91,140378.97,26959.9,442.81,7069.21,5901.4,14091.02,854.06,211.73,146.36,145.38,34.18,0,56.09,105.03,234.99,29.32,319.22,59.2,470.23,0,21.92,14.1
"H128","pXRF",259540.94,4134.06,96853.98,25776.21,118.86,8323.95,5638.62,17282.65,714.47,112.35,97.06,113.57,29.83,18.41,87.54,127.63,131.16,20.05,114.15,14.85,304.86,0,24.35,11.28
"H130","pXRF",283433.5,3922.66,96276.95,33791.26,768.37,22579.59,70424.44,24133.42,1780,461.51,118.25,136.59,70.18,18.27,101.27,127.41,266.16,20.1,154.96,13.28,654.52,0,17.14,8.24
"H131","pXRF",227399.86,2689.67,57326.8,38066.2,681.99,7830.26,34327.75,18307.51,2000.2,130.44,120.54,140.6,46.98,0,92.66,113.22,204.09,16.75,176.59,15.06,735.32,0,18.77,6.04
"H132","pXRF",295961.22,4241.97,104198.35,40799.18,358.51,12415.65,35022.51,23616.77,1324.33,0,130.58,143.35,38.51,30.05,78.22,164.26,200.51,23.42,185.78,16.66,899.27,0,25.14,9.74
